model,accuracy,precision,recall,f1,auc_roc
Logistic Regression,0.6360444444444444,0.18050660792951542,0.6866359447004609,0.2858637830295631,0.7169843963508148
Decision Tree,0.6419555555555555,0.19379928702603436,0.7515710096355258,0.30814153211954654,0.7532829958993105
Random Forest,0.6595555555555556,0.20111098514907608,0.7431922915793884,0.31655960028551033,0.7674249101708152
XGBoost,0.7199111111111111,0.23341958327658996,0.7180561374109761,0.35231243576567317,0.7928691997878514
Neural Network (MLP),0.6710222222222222,0.20744370551860927,0.7448680351906158,0.32451177222120825,0.7739358818736143
